record	partRole	gestureID	stage	gStartTime	gEndTime	gDuration	gFunction	sem_edu	eStartTime	eEndTime	eDuration	Intersection	sDifference	sCoord0	eCoord0	sCoord50	eCoord50	sCoord100	eCoord100	sCoord200	eCoord200																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe211	Conversation	296450	297520	1070	Depictive	N-vE149	296489	298699	2210	1031	-39	A	A	S	A	S	A	S	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe212	Conversation	297520	298110	590	Depictive	N-vE149	296489	298699	2210	590	1031	D	A	D	A	D	A	D	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe225	Conversation	344840	345550	710	Depictive	N-vE175	345037	345515	478	478	-197	A	D	A	S	A	S	S	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe233	Conversation	404170	405200	1030	Depictive	N-vE186	404341	405380	1039	859	-171	A	A	A	A	A	A	S	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe247	Conversation	432790	433840	1050	Depictive, Pragmatic	N-vE204	433347	434456	1109	493	-557	A	A	A	A	A	A	A	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe249	Conversation	434100	436460	2360	Depictive, Pragmatic	N-vE205	434456	435718	1262	1262	-356	A	D	A	D	A	D	A	D																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe250	Conversation	436460	436990	530	Depictive, Pragmatic	N-vE206	436524	437277	753	466	-64	A	A	A	A	S	A	S	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe251	Conversation	436990	437770	780	Depictive, Pragmatic	N-vE207	437277	437981	704	493	-287	A	A	A	A	A	A	A	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe252	Conversation	437770	438820	1050	Depictive, Pragmatic	N-vE208	437981	438920	939	839	-211	A	A	A	A	A	S	A	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe260	Conversation	469430	472290	2860	Depictive	N-vE224	469571	470292	721	721	-141	A	D	A	D	A	D	S	D																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe261	Conversation	473010	474230	1220	Depictive	N-vE227	473767	474719	952	463	-757	A	A	A	A	A	A	A	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe262	Conversation	474230	475120	890	Depictive	N-vE228	474719	475590	871	401	-489	A	A	A	A	A	A	A	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe263	Conversation	475120	476570	1450	Depictive	N-vE230	476431	476714	283	139	-1311	A	A	A	A	A	A	A	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe264	Conversation	476570	480150	3580	Depictive	N-vE231	476714	480498	3784	3436	-144	A	A	A	A	A	A	S	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe265	Conversation	480150	481750	1600	Depictive	N-vE232	480498	482281	1783	1252	-348	A	A	A	A	A	A	A	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe266	Conversation	481750	482120	370	Depictive	N-vE232	480498	482281	1783	370	1252	D	A	D	A	D	A	D	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe271	Conversation	484830	485440	610	Depictive	N-vE236	485047	486284	1237	393	-217	A	A	A	A	A	A	A	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe272	Conversation	485440	485830	390	Depictive	N-vE236	485047	486284	1237	390	393	D	A	D	A	D	A	D	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe278	Conversation	492070	492990	920	Depictive	N-vE244	492399	493361	962	591	-329	A	A	A	A	A	A	A	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe279	Conversation	492990	493260	270	Depictive	N-vE244	492399	493361	962	270	591	D	A	D	A	D	A	D	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe280	Conversation	493260	493740	480	Depictive	N-vE244	492399	493361	962	101	861	D	D	D	D	D	D	D	D																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe286	Conversation	508570	509160	590	Depictive, Pragmatic	N-vE254	508976	510361	1385	184	-406	A	A	A	A	A	A	A	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe287	Conversation	509160	509460	300	Depictive, Pragmatic	N-vE254	508976	510361	1385	300	184	D	A	D	A	D	A	S	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe288	Conversation	509460	510490	1030	Depictive, Pragmatic	N-vE254	508976	510361	1385	901	484	D	D	D	D	D	D	D	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe292	Conversation	511640	512720	1080	Depictive	N-vE257	511744	512638	894	894	-104	A	D	A	D	A	S	S	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe294	Conversation	512960	514420	1460	Depictive, Pragmatic	N-vE259	513133	514238	1105	1105	-173	A	D	A	D	A	D	S	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe295	Conversation	515220	516010	790	Depictive, Pragmatic	N-vE260	515342	516460	1118	668	-122	A	A	A	A	A	A	S	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe299	Conversation	517070	517750	680	Depictive	N-vE262	517200	518334	1134	550	-130	A	A	A	A	A	A	S	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe308	Conversation	524750	525780	1030	Depictive	N-vE269	524676	525838	1162	1030	74	D	A	D	A	S	S	S	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe309	Conversation	525780	526700	920	Depictive, Pragmatic	N-vE270	525838	527033	1195	862	-58	A	A	A	A	S	A	S	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe310	Conversation	526700	527590	890	Depictive, Pragmatic	N-vE271	527033	528195	1162	557	-333	A	A	A	A	A	A	A	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe318	Conversation	540220	540780	560	Depictive	N-vE274	538151	541401	3250	560	2069	D	A	D	A	D	A	D	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe319	Conversation	540780	541030	250	Depictive	N-vE274	538151	541401	3250	250	2629	D	A	D	A	D	A	D	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe320	Conversation	541030	541740	710	Depictive	N-vE275	541401	542131	730	339	-371	A	A	A	A	A	A	A	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe328	Conversation	562110	562530	420	Depictive, Pragmatic	N-vE286	560648	562698	2050	420	1462	D	A	D	A	D	A	D	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe329	Conversation	562530	563480	950	Depictive	N-vE286	560648	562698	2050	168	1882	D	D	D	D	D	D	D	D																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe336	Conversation	566360	567350	990	Depictive, Pragmatic	N-vE290	566717	568334	1617	633	-357	A	A	A	A	A	A	A	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe338	Conversation	567660	568560	900	Depictive	N-vE290	566717	568334	1617	674	943	D	D	D	D	D	D	D	D																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe341	Conversation	569900	570660	760	Depictive	N-vE292	569554	570850	1296	760	346	D	A	D	A	D	A	D	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe344	Conversation	578240	579020	780	Depictive, Pragmatic	N-vE298	578662	579486	824	358	-422	A	A	A	A	A	A	A	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	N	N-mGe345	Conversation	579020	579910	890	Depictive	N-vE299	579486	580617	1131	424	-466	A	A	A	A	A	A	A	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
