record	partRole	gestureID	stage	gStartTime	gEndTime	gDuration	lenType	handedness	gFunction	isBeat	isPragmatic	isDepictive	isPointing	eduID	eStartTime	eEndTime	eDuration	maxIntersection	P	R	HM	sDifference	sCoord0	eCoord0	sCoord50	eCoord50	sCoord100	eCoord100	sCoord200	eCoord200
4	C	C-mGe071	Conversation	789710	790400	690	medium	Bh-dif	Depictive	0	0	1	0	C-vE164	789191	791713	2522	690	1	0,2736	0,429638855	519	D	A	D	A	D	A	D	A
4	C	C-mGe072	Conversation	790400	793660	3260	long	Rt	Depictive	0	0	1	0	C-vE164	789191	791713	2522	1313	0,4028	0,5206	0,454168108	1209	D	D	D	D	D	D	D	D
4	C	C-mGe073	Conversation	896060	896690	630	short	Rt	Beat	1	0	0	0	C-vE192	895504	896396	892	336	0,5333	0,3767	0,44152431	556	D	D	D	D	D	D	D	D
4	C	C-mGe074	Conversation	898780	899520	740	medium	Rt	Beat	1	0	0	0	C-vE193	897555	899835	2280	740	1	0,3246	0,490066225	1225	D	A	D	A	D	A	D	A
4	C	C-mGe075	Conversation	988320	989580	1260	medium	Rt	Depictive	0	0	1	0	C-vE209	988405	990442	2037	1175	0,9325	0,5768	0,712769185	-85	A	A	A	A	S	A	S	A
4	C	C-mGe076	Conversation	989580	990240	660	short	Rt	Depictive	0	0	1	0	C-vE209	988405	990442	2037	660	1	0,324	0,489432703	1175	D	A	D	A	D	A	D	A
4	C	C-mGe077	Conversation	990240	991440	1200	medium	Rt	Depictive	0	0	1	0	C-vE210	990833	992222	1389	607	0,5058	0,437	0,468906914	-593	A	A	A	A	A	A	A	A
4	C	C-mGe078	Conversation	991440	993030	1590	long	Rt	Depictive	0	0	1	0	C-vE210	990833	992222	1389	782	0,4918	0,563	0,525008392	607	D	D	D	D	D	D	D	D
4	C	C-mGe079	Conversation	1038090	1039230	1140	medium	Bh-sym	Depictive	0	0	1	0	C-vE221	1038374	1039583	1209	856	0,7509	0,708	0,728820775	-284	A	A	A	A	A	A	A	A
4	C	C-mGe080	Conversation	1039230	1039750	520	short	Bh-sym	Depictive	0	0	1	0	C-vE221	1038374	1039583	1209	353	0,6788	0,292	0,408328514	856	D	D	D	D	D	D	D	S
4	C	C-mGe081	Conversation	1039750	1040560	810	medium	Bh-sym	Depictive	0	0	1	0	C-vE222	1039583	1040739	1156	810	1	0,7007	0,824008139	167	D	A	D	A	D	A	S	S
4	C	C-mGe082	Conversation	1040560	1042530	1970	long	Bh-sym	Depictive	0	0	1	0	C-vE224	1041706	1044697	2991	824	0,4183	0,2755	0,332191091	-1146	A	A	A	A	A	A	A	A
4	C	C-mGe083	Conversation	1042530	1042980	450	short	Bh-id	Pointing, Pragmatic	0	1	0	1	C-vE224	1041706	1044697	2991	450	1	0,1505	0,261551874	824	D	A	D	A	D	A	D	A
4	C	C-mGe084	Conversation	1042980	1043410	430	short	Bh-dif	Other, Pragmatic	0	1	0	0	C-vE224	1041706	1044697	2991	430	1	0,1438	0,251388483	1274	D	A	D	A	D	A	D	A
4	C	C-mGe085	Conversation	1043410	1044190	780	medium	Bh-dif	Pointing, Pragmatic	0	1	0	1	C-vE224	1041706	1044697	2991	780	1	0,2608	0,413683373	1704	D	A	D	A	D	A	D	A
4	C	C-mGe086	Conversation	1044190	1045360	1170	medium	Bh-sym	Other, Pragmatic	0	1	0	0	C-vE225	1044697	1045486	789	663	0,5667	0,8403	0,676875957	-507	A	A	A	A	A	A	A	S
