record_id	participant	gesture_id	stage	time_begin	time_end	duration	ge_handedness	ge_function	ge_structure	ge_tags	MaxHM	edu_id_form	has_sem_edu	time_begin	time_end	duration	edu_illoc_phas	edu_main_acc	edu_words_num	sDifference	eCoord0	eCoord0	sCoord50	eCoord50	sCoord100	eCoord100	sCoord200	eCoord200
4	C	C-mGe094	Conversation	1052460	1053140	680	Bh-id	Beat	P-S R		0,89458	C-vE231	no	1052410	1053050	648	Comma	F	2	54	D	D	D	D	S	S	S	S
4	C	C-mGe095	Conversation	1053140	1054320	1180	Bh-id	Pointing, Pragmatic	P-S R		0,62711	C-vE232	no	1053380	1053920	539	Period	F	1	-239	A	D	A	D	A	D	A	D
4	C	C-mGe096	Conversation	1059290	1059860	570	Rt	Depictive	P S		0,80324	C-vE236	yes	1059320	1060100	787	Comma	LRl	2	-25	A	A	S	A	S	A	S	A
4	C	C-mGe097	Conversation	1059860	1061300	1440	Rt	Depictive	P S R		0,54692	C-vE237	yes	1060100	1060640	542	Comma, Tilde	L	2	-242	A	D	A	D	A	D	A	D
4	C	C-mGe098	Conversation	1064400	1065200	800	Bh-sym	Depictive	P S	BreakOff	0,62735	C-vE239	yes	1063920	1064980	1065	Interrupt		2	480	D	D	D	D	D	D	D	D
4	C	C-mGe099	Conversation	1065200	1065950	750	Bh-sym	Depictive	P S		0,71886	C-vE240	yes	1065340	1066280	936	Comma	R	3	-144	A	A	A	A	A	A	S	A
4	C	C-mGe100	Conversation	1065950	1067050	1100	Bh-sym	Depictive	P S		0,58488	C-vE241	yes	1066280	1067810	1533	Fst		5	-330	A	A	A	A	A	A	A	A
4	C	C-mGe101	Conversation	1067050	1067720	670	Bh-dif	Depictive	P S		0,60826	C-vE241	yes	1066280	1067810	1533	Fst		5	770	D	A	D	A	D	S	D	S
4	C	C-mGe102	Conversation	1067720	1069140	1420	Bh-dif	Depictive	S R	Long R	0,83987	C-vE242	yes	1067810	1069550	1740	Period	F	5	-93	A	A	A	A	S	A	S	A
4	C	C-mGe103	Conversation	1073250	1075040	1790	Rt	Depictive	P S R	R Rebound	0,85457	C-vE245	yes	1073620	1075160	1545	Period	LR	4	-365	A	A	A	A	A	A	A	S
4	C	C-mGe104	Retelling	1255870	1257380	1510	Rt	Other, Pragmatic	P-S R				no															
4	C	C-mGe105	Retelling	1438080	1439020	940	Rt	Depictive	P S	S Rebound, BreakOff			no															
4	N	N-mGe001	1st_telling	0	1640	1640	Bh-id	Depictive	P S	Multi-Rebound	0,33207	N-vE001	no	1247	1974	727	Period	F	2	-1247	A	A	A	A	A	A	A	A
4	N	N-mGe002	1st_telling	1640	2070	430	Bh-id	Depictive	P S	Repeat	0,57736	N-vE001	no	1247	1974	727	Period	F	2	393	D	D	D	D	D	S	D	S
4	N	N-mGe003	1st_telling	2070	2480	410	Bh-id	Other, Pragmatic	P S	Repeat	0,28263	N-vE002	no	2205	3741	1536	Period	F	4	-135	A	A	A	A	A	A	S	A
4	N	N-mGe004	1st_telling	2480	3820	1340	Bh-id	Other, Pragmatic	P S	Multi-S	0,87691	N-vE002	no	2205	3741	1536	Period	F	4	275	D	D	D	D	D	S	D	S
4	N	N-mGe005	1st_telling	3820	4090	270	Bh-id	Beat	S		0,47577	N-vE003	no	3741	4606	865	Period	F	2	79	D	A	D	A	S	A	S	A
4	N	N-mGe006	1st_telling	4090	4560	470	Bh-sym	Other, Pragmatic	P S	S Rebound	0,70412	N-vE003	no	3741	4606	865	Period	F	2	349	D	A	D	S	D	S	D	S
4	N	N-mGe007	1st_telling	4560	5670	1110	Bh-dif	Other, Pragmatic	P S R	S Rebound, R Rebound	0,60025	N-vE004	no	4774	5250	476	Period	R	1	-214	A	D	A	D	A	D	A	D
4	N	N-mGe008	1st_telling	6460	7000	540	Bh-sym	Depictive	P S		0,35785	N-vE005	no	6013	8491	2478	Dots-nf	RL	4	447	D	A	D	A	D	A	D	A
4	N	N-mGe009	1st_telling	7000	7870	870	Bh-sym	Depictive	S	Multi-S, Repeat	0,51971	N-vE005	no	6013	8491	2478	Dots-nf	RL	4	987	D	A	D	A	D	A	D	A
4	N	N-mGe010	1st_telling	7870	8480	610	Bh-sym	Depictive	S	Multi-S, Repeat	0,39508	N-vE005	no	6013	8491	2478	Dots-nf	RL	4	1857	D	A	D	S	D	S	D	S
4	N	N-mGe011	1st_telling	8480	8900	420	Lt	Beat, Pragmatic	S		0,46329	N-vE006	no	8594	9495	901	Dots-nf	RL	2	-114	A	A	A	A	A	A	S	A
4	N	N-mGe012	1st_telling	8900	9300	400	Bh-dif	Depictive, Pragmatic	S		0,61491	N-vE006	no	8594	9495	901	Dots-nf	RL	2	306	D	A	D	A	D	A	D	S
4	N	N-mGe013	1st_telling	9300	9760	460	Bh-sym	Depictive, Pragmatic	P S		0,54696	N-vE007	no	9495	10004	509	Dots-nf	RL	1	-195	A	A	A	A	A	A	S	A
4	N	N-mGe014	1st_telling	9760	10850	1090	Lt	Beat	P S	Multi-Rebound	0,86283	N-vE008	no	10004	10875	871	Comma, Interrupt	Lr	1	-244	A	A	A	S	A	S	A	S
4	N	N-mGe015	1st_telling	10850	12280	1430	Bh-sym	Other, Pragmatic	P H S		0,14028	N-vE009	no	12012	14403	2391	Period	F	7	-1162	A	A	A	A	A	A	A	A
4	N	N-mGe016	1st_telling	12280	13220	940	Bh-sym	Other, Pragmatic	P S H	Rt H Overlap	0,5644	N-vE009	no	12012	14403	2391	Period	F	7	268	D	A	D	A	D	A	D	A
4	N	N-mGe017	1st_telling	13220	14000	780	Bh-sym	Other, Pragmatic	P S R	Lt H Overlap, Repeat	0,49196	N-vE009	no	12012	14403	2391	Period	F	7	1208	D	A	D	A	D	A	D	A
4	N	N-mGe018	1st_telling	14000	15390	1390	Bh-id	Other, Pragmatic	P S	S Rebound	0,21317	N-vE009	no	12012	14403	2391	Period	F	7	1988	D	D	D	D	D	D	D	D
4	N	N-mGe019	1st_telling	15390	16610	1220	Bh-id	Other, Pragmatic	P S				no															
4	N	N-mGe020	1st_telling	16610	17580	970	Bh-sym	Other, Pragmatic	P H S		0,1734	N-vE010	no	17389	18622	1233	Period	F	3	-779	A	A	A	A	A	A	A	A
