record_id	participant	gesture_id	stage	time_begin	time_end	duration	ge_handedness	ge_function	pragmatic	ge_structure	ge_tags	MaxHM	edu_id_form	has_sem_edu	time_begin	time_end	duration	edu_html	edu_illoc_phas	edu_main_acc	edu_words_num	LeftDiff	RightDiff	eCoord0	eCoord0	sCoord50	eCoord50	sCoord100	eCoord100	sCoord200	eCoord200
4	C	C-mGe068	Conversation	787310	788170	860	Rt	Depictive		P S		0,6245	C-vE163	0	787316	789191	1875	(? 0.27) у него \теннисная /рак<u>е</u>тка,	Comma	R	4	-6	-1021	A	A	S	A	S	A	S	A
4	C	C-mGe069	Conversation	788170	788840	670	Rt	Depictive		S		0,52652	C-vE163	1	787316	789191	1875	(? 0.27) у него \теннисная /рак<u>е</u>тка,	Comma	R	4	854	-351	D	A	D	A	D	A	D	A
4	C	C-mGe070	Conversation	788840	789710	870	Bh-id	Depictive		P S		0,30601	C-vE164	0	789191	791713	2522	к /ней на /резинке привязан теннисный \м?м<u>я</u>чик.	Period	F	7	-351	-2003	A	A	A	A	A	A	A	A
4	C	C-mGe071	Conversation	789710	790400	690	Bh-dif	Depictive		S R		0,42964	C-vE164	1	789191	791713	2522	к /ней на /резинке привязан теннисный \м?м<u>я</u>чик.	Period	F	7	519	-1313	D	A	D	A	D	A	D	A
4	C	C-mGe072	Conversation	790400	793660	3260	Rt	Depictive		P S R	Lt R Overlap, Multi-S	0,45417	C-vE164	0	789191	791713	2522	к /ней на /резинке привязан теннисный \м?м<u>я</u>чик.	Period	F	7	1209	1947	D	D	D	D	D	D	D	D
4	C	C-mGe073	Conversation	896060	896690	630	Rt	Beat		P-S R		0,44152	C-vE192	0	895504	896396	892	так || та= || так /зн<u>а</u>ешь,	Comma	R	4	556	294	D	D	D	D	D	D	D	D
4	C	C-mGe074	Conversation	898780	899520	740	Rt	Beat		P-S R		0,49007	C-vE193	0	897555	899835	2280	(? 0.34) Зн= || как (0.14) плохие \акт<u>ё</u>ры играют.	Period	F	5	1225	-315	D	A	D	A	D	A	D	A
4	C	C-mGe075	Conversation	988320	989580	1260	Rt	Depictive		P S		0,71277	C-vE209	1	988405	990442	2037	(? 0.27) \Длиннее наверное чем у \мен<u>я</u> вот.	Period	F	6	-85	-862	A	A	A	A	S	A	S	A
4	C	C-mGe076	Conversation	989580	990240	660	Rt	Depictive		P S		0,48943	C-vE209	1	988405	990442	2037	(? 0.27) \Длиннее наверное чем у \мен<u>я</u> вот.	Period	F	6	1175	-202	D	A	D	A	D	A	D	A
4	C	C-mGe077	Conversation	990240	991440	1200	Rt	Depictive		P S	Multi-S	0,46891	C-vE210	0	990833	992222	1389	<sup>?</sup>И при –этом такие \густ<u>ы</u>е,	Comma	F	5	-593	-782	A	A	A	A	A	A	A	A
4	C	C-mGe078	Conversation	991440	993030	1590	Rt	Depictive		S R	Multi-S, Repeat	0,52501	C-vE210	1	990833	992222	1389	<sup>?</sup>И при –этом такие \густ<u>ы</u>е,	Comma	F	5	607	808	D	D	D	D	D	D	D	D
4	C	C-mGe079	Conversation	1038090	1039230	1140	Bh-sym	Depictive		P-S		0,72882	C-vE221	1	1038370	1039580	1209	там вообще \к<u>а</u>др был:	Colon	F	4	-284	-353	A	A	A	A	A	A	A	A
4	C	C-mGe080	Conversation	1039230	1039750	520	Bh-sym	Depictive		P-S		0,40833	C-vE221	1	1038370	1039580	1209	там вообще \к<u>а</u>др был:	Colon	F	4	856	167	D	D	D	D	D	D	D	S
4	C	C-mGe081	Conversation	1039750	1040560	810	Bh-sym	Depictive		P S		0,82401	C-vE222	1	1039580	1040740	1156	вот несколько /гр<u>у</u>ш,	Comma	R	3	167	-179	D	A	D	A	D	A	S	S
4	C	C-mGe082	Conversation	1040560	1042530	1970	Bh-sym	Depictive		S R	Long R, R Rebound	0,36853	C-vE223	0	1040740	1041180	445	как (? 0.17) ==	Fst		1	-179	1346	A	D	A	D	A	D	S	D
4	C	C-mGe083	Conversation	1042530	1042980	450	Bh-id	Pointing	 Pragmatic	P-S		0,26155	C-vE224	0	1041700	1044700	2991	Ну потому что не /будут же они заставлять /мальчика реально \п<u>а</u>дать,	Comma	F	11	825	-1716	D	A	D	A	D	A	D	A
4	C	C-mGe084	Conversation	1042980	1043410	430	Bh-dif	Other	 Pragmatic	P-S		0,25139	C-vE224	0	1041700	1044700	2991	Ну потому что не /будут же они заставлять /мальчика реально \п<u>а</u>дать,	Comma	F	11	1275	-1286	D	A	D	A	D	A	D	A
4	C	C-mGe085	Conversation	1043410	1044190	780	Bh-dif	Pointing	 Pragmatic	S	S Rebound	0,41368	C-vE224	0	1041700	1044700	2991	Ну потому что не /будут же они заставлять /мальчика реально \п<u>а</u>дать,	Comma	F	11	1705	-506	D	A	D	A	D	A	D	A
4	C	C-mGe086	Conversation	1044190	1045360	1170	Bh-sym	Other	 Pragmatic	P S	S Rebound	0,67755	C-vE225	0	1044700	1045490	790	ему будет \б<u>о</u>льно.	Period	F	3	-506	-126	A	A	A	A	A	A	A	S
4	C	C-mGe087	Conversation	1045360	1047180	1820	Bh-sym	Depictive		P S H	S Rebound	0,78281	C-vE226	0	1045490	1047990	2508	/Поэтому в тот момент когда они /пада= || (? 0.10) когда он /п<u>а</u>дает,	Comma	R	10	-126	-814	A	A	A	A	A	A	S	A
